"AAR_KVARTAL";"FYLKE";"ANTALL";"PROSENT"
"2018K4";"03 Oslo";78743;11,7
"2018K4";"11 Rogaland";63592;9,5
"2018K4";"15 Møre og Romsdal";33090;4,9
"2018K4";"18 Nordland - Nordlánnda";29022;4,3
"2018K4";"31 Østfold";37368;5,6
"2018K4";"32 Akershus";93709;14
"2018K4";"33 Buskerud";32762;4,9
"2018K4";"34 Innlandet";42351;6,3
"2018K4";"39 Vestfold";30421;4,5
"2018K4";"40 Telemark";20509;3,1
"2018K4";"42 Agder";38445;5,7
"2018K4";"46 Vestland";79217;11,8
"2018K4";"50 Trøndelag - Trööndelage";57274;8,5
"2018K4";"55 Troms - Romsa - Tromssa ";20244;3
"2018K4";"56 Finnmark - Finnmárku - Finmarkku";9012;1,3
"2018K4";"98 Utland";4930;0,7
"2018K4";"99 Ukjent";227;0
"2019K1";"00 I alt";668962;100
"2019K1";"03 Oslo";79070;11,8
"2019K1";"11 Rogaland";63567;9,5
"2019K1";"15 Møre og Romsdal";33022;4,9
"2019K1";"18 Nordland - Nordlánnda";28965;4,3
"2019K1";"31 Østfold";37167;5,6
"2019K1";"32 Akershus";93404;14
"2019K1";"33 Buskerud";32574;4,9
"2019K1";"34 Innlandet";42261;6,3
"2019K1";"39 Vestfold";30164;4,5
"2019K1";"40 Telemark";20469;3,1
"2019K1";"42 Agder";38229;5,7
"2019K1";"46 Vestland";78750;11,8
"2019K1";"50 Trøndelag - Trööndelage";57000;8,5
"2019K1";"55 Troms - Romsa - Tromssa ";20124;3
"2019K1";"56 Finnmark - Finnmárku - Finmarkku";8977;1,3
"2019K1";"98 Utland";4984;0,7
"2019K1";"99 Ukjent";235;0
"2019K2";"00 I alt";668981;100
"2019K2";"03 Oslo";79183;11,8
"2019K2";"11 Rogaland";63242;9,5
"2019K2";"15 Møre og Romsdal";32888;4,9
"2019K2";"18 Nordland - Nordlánnda";28879;4,3
"2019K2";"31 Østfold";37331;5,6
"2019K2";"32 Akershus";93981;14
"2019K2";"33 Buskerud";32705;4,9
"2019K2";"34 Innlandet";42060;6,3
"2019K2";"39 Vestfold";30291;4,5
"2019K2";"40 Telemark";20333;3
"2019K2";"42 Agder";38177;5,7
"2019K2";"46 Vestland";78640;11,8
"2019K2";"50 Trøndelag - Trööndelage";57158;8,5
"2019K2";"55 Troms - Romsa - Tromssa ";20063;3
"2019K2";"56 Finnmark - Finnmárku - Finmarkku";8925;1,3
"2019K2";"98 Utland";4892;0,7
"2019K2";"99 Ukjent";233;0
"2019K3";"00 I alt";660053;100
"2019K3";"03 Oslo";77903;11,8
"2019K3";"11 Rogaland";62573;9,5
"2019K3";"15 Møre og Romsdal";32327;4,9
"2019K3";"18 Nordland - Nordlánnda";28577;4,3
"2019K3";"31 Østfold";36737;5,6
"2019K3";"32 Akershus";93046;14,1
"2019K3";"33 Buskerud";32232;4,9
"2019K3";"34 Innlandet";41762;6,3
"2019K3";"39 Vestfold";30018;4,5
"2019K3";"40 Telemark";20215;3,1
"2019K3";"42 Agder";38064;5,8
"2019K3";"46 Vestland";77502;11,7
"2019K3";"50 Trøndelag - Trööndelage";56717;8,6
"2019K3";"55 Troms - Romsa - Tromssa ";19779;3
"2019K3";"56 Finnmark - Finnmárku - Finmarkku";8823;1,3
"2019K3";"98 Utland";3555;0,5
"2019K3";"99 Ukjent";223;0
"2019K4";"00 I alt";658650;100
"2019K4";"03 Oslo";78029;11,8
"2019K4";"11 Rogaland";62429;9,5
"2019K4";"15 Møre og Romsdal";32143;4,9
"2019K4";"18 Nordland - Nordlánnda";28403;4,3
"2019K4";"31 Østfold";36712;5,6
"2019K4";"32 Akershus";92896;14,1
"2019K4";"33 Buskerud";32156;4,9
"2019K4";"34 Innlandet";41685;6,3
"2019K4";"39 Vestfold";29998;4,6
"2019K4";"40 Telemark";20177;3,1
"2019K4";"42 Agder";37983;5,8
"2019K4";"46 Vestland";77325;11,7
"2019K4";"50 Trøndelag - Trööndelage";56542;8,6
"2019K4";"55 Troms - Romsa - Tromssa ";19688;3
"2019K4";"56 Finnmark - Finnmárku - Finmarkku";8787;1,3
"2019K4";"98 Utland";3469;0,5
"2019K4";"99 Ukjent";228;0
"2020K1";"00 I alt";659751;100
"2020K1";"03 Oslo";78465;11,9
"2020K1";"11 Rogaland";62676;9,5
"2020K1";"15 Møre og Romsdal";32071;4,9
"2020K1";"18 Nordland - Nordlánnda";28422;4,3
"2020K1";"31 Østfold";36686;5,6
"2020K1";"32 Akershus";93351;14,1
"2020K1";"33 Buskerud";32186;4,9
"2020K1";"34 Innlandet";41699;6,3
"2020K1";"39 Vestfold";29944;4,5
"2020K1";"40 Telemark";20197;3,1
"2020K1";"42 Agder";38007;5,8
"2020K1";"46 Vestland";77299;11,7
"2020K1";"50 Trøndelag - Trööndelage";56661;8,6
"2020K1";"55 Troms - Romsa - Tromssa ";19772;3
"2020K1";"56 Finnmark - Finnmárku - Finmarkku";8791;1,3
"2020K1";"98 Utland";3406;0,5
"2020K1";"99 Ukjent";118;0
"2020K2";"00 I alt";660367;100
"2020K2";"03 Oslo";78904;11,9
"2020K2";"11 Rogaland";62803;9,5
"2020K2";"15 Møre og Romsdal";32099;4,9
"2020K2";"18 Nordland - Nordlánnda";28388;4,3
"2020K2";"31 Østfold";36794;5,6
"2020K2";"32 Akershus";93539;14,2
"2020K2";"33 Buskerud";32176;4,9
"2020K2";"34 Innlandet";41604;6,3
"2020K2";"39 Vestfold";30102;4,6
"2020K2";"40 Telemark";20253;3,1
"2020K2";"42 Agder";37901;5,7
"2020K2";"46 Vestland";77262;11,7
"2020K2";"50 Trøndelag - Trööndelage";56707;8,6
"2020K2";"55 Troms - Romsa - Tromssa ";19782;3
"2020K2";"56 Finnmark - Finnmárku - Finmarkku";8742;1,3
"2020K2";"98 Utland";3281;0,5
"2020K2";"99 Ukjent";30;0
"2020K3";"00 I alt";658145;100
"2020K3";"03 Oslo";78613;11,9
"2020K3";"11 Rogaland";62654;9,5
"2020K3";"15 Møre og Romsdal";31894;4,8
"2020K3";"18 Nordland - Nordlánnda";28232;4,3
"2020K3";"31 Østfold";36746;5,6
"2020K3";"32 Akershus";93602;14,2
"2020K3";"33 Buskerud";32124;4,9
"2020K3";"34 Innlandet";41239;6,3
"2020K3";"39 Vestfold";30032;4,6
"2020K3";"40 Telemark";19995;3
"2020K3";"42 Agder";37799;5,7
"2020K3";"46 Vestland";76880;11,7
"2020K3";"50 Trøndelag - Trööndelage";56545;8,6
"2020K3";"55 Troms - Romsa - Tromssa ";19587;3
"2020K3";"56 Finnmark - Finnmárku - Finmarkku";8660;1,3
"2020K3";"98 Utland";3512;0,5
"2020K3";"99 Ukjent";31;0
"2020K4";"00 I alt";658562;100
"2020K4";"03 Oslo";78509;11,9
"2020K4";"11 Rogaland";62613;9,5
"2020K4";"15 Møre og Romsdal";31914;4,8
"2020K4";"18 Nordland - Nordlánnda";28168;4,3
"2020K4";"31 Østfold";36712;5,6
