"AARMND";"PX_DATA";"STATISTIKKVARIABEL_TELLING";"REGION";"STATISTIKKVARIABEL_REGION";"HOVEDGRUPPETEKST"
202505;2,5;"prosent";"3103 Moss";"kommune";"Helt ledige"
202506;2,6;"prosent";"3103 Moss";"kommune";"Helt ledige"
202507;2,8;"prosent";"3103 Moss";"kommune";"Helt ledige"
202508;2,7;"prosent";"3103 Moss";"kommune";"Helt ledige"
202501;278;"antall";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202502;312;"antall";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202503;311;"antall";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202504;253;"antall";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202505;234;"antall";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202506;179;"antall";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202507;131;"antall";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202508;143;"antall";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202501;291;"antall";"3105 Sarpsborg";"kommune";"Delvis ledige"
202502;298;"antall";"3105 Sarpsborg";"kommune";"Delvis ledige"
202503;278;"antall";"3105 Sarpsborg";"kommune";"Delvis ledige"
202504;295;"antall";"3105 Sarpsborg";"kommune";"Delvis ledige"
202505;314;"antall";"3105 Sarpsborg";"kommune";"Delvis ledige"
202506;289;"antall";"3105 Sarpsborg";"kommune";"Delvis ledige"
202507;245;"antall";"3105 Sarpsborg";"kommune";"Delvis ledige"
202508;285;"antall";"3105 Sarpsborg";"kommune";"Delvis ledige"
202501;989;"antall";"3105 Sarpsborg";"kommune";"Helt ledige"
202502;929;"antall";"3105 Sarpsborg";"kommune";"Helt ledige"
202503;925;"antall";"3105 Sarpsborg";"kommune";"Helt ledige"
202504;844;"antall";"3105 Sarpsborg";"kommune";"Helt ledige"
202505;835;"antall";"3105 Sarpsborg";"kommune";"Helt ledige"
202506;920;"antall";"3105 Sarpsborg";"kommune";"Helt ledige"
202507;954;"antall";"3105 Sarpsborg";"kommune";"Helt ledige"
202508;932;"antall";"3105 Sarpsborg";"kommune";"Helt ledige"
202501;1;"prosent";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202502;1,1;"prosent";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202503;1,1;"prosent";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202504;0,9;"prosent";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202505;0,8;"prosent";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202506;0,6;"prosent";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
